id,en,sh,audio
1,"What traditional dishes do you prepare during major celebrations?","Man tirmt ad tsujadt ɣ laɛyad mqqurnin ?","question-01.wav"
2,"What are the most commonly used musical instruments in your region?","Mad gan alat n lmusiqa lli bahra ittustɛmaln ɣ tamazirt nnk ?","question-02.wav"
3,"Could you tell me a proverb in Tachelhit and explain its meaning?","Is tufit ad iyi tbdrt kra n lmaqula s tclḥit d ad iyi tcrḥrt lmɛna nns ?","question-03.wav"
4,"Can you describe a traditional costume worn during celebrations?","Is tufit ad iyi tuṣft kra n lksut tabldit lli lssan mddn ɣ lficṭat ?","question-04.wav"
5,"How is traditional bread prepared?","Manik a s ar nssnwa aɣrum abldi ?","question-05.wav"
6,"Which herbs are used to treat illnesses?","Man lɛcub ad n stɛmal bac ad nsjji timuḍan ?","question-06.wav"
7,"Can you describe a traditional song that everyone knows?","Is tufit ad iyi tuṣft kra n luɣnya tabldit lli kullu ssnn mddn ?","question-07.wav"
8,"Can you describe the differences between life in the city and in the countryside?","Is tufit ad iyi tuṣft lfrq gr lmɛict n lmdint d tin tmazirt ?","question-08.wav"
9,"What is the relationship between people and their domestic animals?","Mad igan lɛalaqa gr mddn d lḥayawanat n tgmmi ?","question-09.wav"
10,"What do you like to do when you have free time?","Mad dark iɛzzan ad tskart iɣ dark txwa luqt ?","question-10.wav"
11,"What is the first thing you do in the morning?","Mad tga lḥajt izwarn lli tskart zik sbaḥ ?","question-11.wav"
12,"What do you like to eat when you’re in a good mood?","Mad dark iɛzzan ad tcttat iɣ k iɛjb lḥal ?","question-12.wav"
13,"What annoys you the most in daily life?","Mad k bahra isɛṣṣabn ɣ tudrt nnk n kay gat ass ?","question-13.wav"
14,"What do you do when you can’t sleep?","Mad tskart iɣ k ur yiwi yiḍṣ ?","question-14.wav"
15,"What do you think is the most important thing to pass on to children?","Mad tga lḥajt lli bahra dark istawhmman is ixssa a s tnzzri i tarwa ?","question-15.wav"
16,"What makes the Chleuh people special or different from others?","Mad ittajan iclḥiyn tmyzn nɣ d xtalfn f wiyyad ?","question-16.wav"
17,"How do young people spend their free time in your village or city?","Manik a s ar zzrayn ccabab luqt lli darsn ixwan ɣ tmazirt nnk nɣ d lmdint nnk ?","question-17.wav"
18,"How do you prepare mint tea?","Manik a s ar nn tggat atay n nnɛnaɛ ?","question-18.wav"
19,"Can you talk about the differences between religious celebrations in the city and in the countryside?","Tẓḍaṛt ad tsawlt f lfrq lli illan gr lḥafalat ddinya ɣ lmdint d tmazirt ?","question-19.wav"
20,"How do young people see the future of the Tachelhit language?","Manik a s ar smuqquln ccabab lmustaqbal n tclḥit ?","question-20.wav"
21,"What are the main challenges that people in your city or village face today?","Mad gan imukrisn mqqurnin lli s ar ttɛanayn middn n lmdint nnk nɣ d tamazirt nnk ɣ ass ad ?","question-21.wav"
